RecordType,vesselFlagCountry,year,workingGroup,stock,speciesCode,catchCategory,domainBiology,distributionType,distributionUnit,distributionClass,ageGroupPlus,attributeType,attributeValue,variableType,variableUnit,valueType,value,variance,PSU,num_PSUs,numTrips,numMeasurements
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,22,,Sex,U,Number,k,Total,6.141,,FishingTrip,5,5,419
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.e_PS_SPF_>0_0_0,LengthTotal,cm,22,,Sex,U,WeightLive,kg,Mean,0.078,,FishingTrip,5,5,419
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.w_PS_SPF_>0_0_0,LengthTotal,cm,18,,Sex,U,Number,k,Total,24.548,,FishingTrip,1,1,68
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.w_PS_SPF_>0_0_0,LengthTotal,cm,18,,Sex,U,WeightLive,kg,Mean,0.043,,FishingTrip,1,1,68
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.w_PS_SPF_>0_0_0,LengthTotal,cm,18.5,,Sex,U,Number,k,Total,24.548,,FishingTrip,1,1,68
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.w_PS_SPF_>0_0_0,LengthTotal,cm,18.5,,Sex,U,WeightLive,kg,Mean,0.047,,FishingTrip,1,1,68
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.w_PS_SPF_>0_0_0,LengthTotal,cm,19.5,,Sex,U,Number,k,Total,98.193,,FishingTrip,1,1,68
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.w_PS_SPF_>0_0_0,LengthTotal,cm,19.5,,Sex,U,WeightLive,kg,Mean,0.055,,FishingTrip,1,1,68
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.w_PS_SPF_>0_0_0,LengthTotal,cm,20,,Sex,U,Number,k,Total,368.224,,FishingTrip,1,1,68
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.w_PS_SPF_>0_0_0,LengthTotal,cm,20,,Sex,U,WeightLive,kg,Mean,0.059,,FishingTrip,1,1,68
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.w_PS_SPF_>0_0_0,LengthTotal,cm,20.5,,Sex,U,Number,k,Total,343.676,,FishingTrip,1,1,68
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.w_PS_SPF_>0_0_0,LengthTotal,cm,20.5,,Sex,U,WeightLive,kg,Mean,0.063,,FishingTrip,1,1,68
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.w_PS_SPF_>0_0_0,LengthTotal,cm,21,,Sex,U,Number,k,Total,319.127,,FishingTrip,1,1,68
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.w_PS_SPF_>0_0_0,LengthTotal,cm,21,,Sex,U,WeightLive,kg,Mean,0.068,,FishingTrip,1,1,68
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.w_PS_SPF_>0_0_0,LengthTotal,cm,21.5,,Sex,U,Number,k,Total,319.127,,FishingTrip,1,1,68
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.w_PS_SPF_>0_0_0,LengthTotal,cm,21.5,,Sex,U,WeightLive,kg,Mean,0.073,,FishingTrip,1,1,68
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.w_PS_SPF_>0_0_0,LengthTotal,cm,22,,Sex,U,Number,k,Total,73.645,,FishingTrip,1,1,68
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.w_PS_SPF_>0_0_0,LengthTotal,cm,22,,Sex,U,WeightLive,kg,Mean,0.078,,FishingTrip,1,1,68
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.w_PS_SPF_>0_0_0,LengthTotal,cm,22.5,,Sex,U,Number,k,Total,24.548,,FishingTrip,1,1,68
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.w_PS_SPF_>0_0_0,LengthTotal,cm,22.5,,Sex,U,WeightLive,kg,Mean,0.083,,FishingTrip,1,1,68
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.w_PS_SPF_>0_0_0,LengthTotal,cm,23,,Sex,U,Number,k,Total,49.097,,FishingTrip,1,1,68
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.w_PS_SPF_>0_0_0,LengthTotal,cm,23,,Sex,U,WeightLive,kg,Mean,0.088,,FishingTrip,1,1,68
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.w_PS_SPF_>0_0_0,LengthTotal,cm,23.5,,Sex,U,Number,k,Total,24.548,,FishingTrip,1,1,68
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.8.c.w_PS_SPF_>0_0_0,LengthTotal,cm,23.5,,Sex,U,WeightLive,kg,Mean,0.094,,FishingTrip,1,1,68
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,13.5,,Sex,U,Number,k,Total,19.764,,FishingTrip,7,7,635
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,13.5,,Sex,U,WeightLive,kg,Mean,0.019,,FishingTrip,7,7,635
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,14,,Sex,U,Number,k,Total,245.266,,FishingTrip,7,7,635
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,14,,Sex,U,WeightLive,kg,Mean,0.021,,FishingTrip,7,7,635
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,14.5,,Sex,U,Number,k,Total,476.702,,FishingTrip,7,7,635
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,14.5,,Sex,U,WeightLive,kg,Mean,0.023,,FishingTrip,7,7,635
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,15,,Sex,U,Number,k,Total,267.101,,FishingTrip,7,7,635
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,15,,Sex,U,WeightLive,kg,Mean,0.026,,FishingTrip,7,7,635
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,15.5,,Sex,U,Number,k,Total,405.149,,FishingTrip,7,7,635
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,15.5,,Sex,U,WeightLive,kg,Mean,0.028,,FishingTrip,7,7,635
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,16,,Sex,U,Number,k,Total,440.59,,FishingTrip,7,7,635
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,16,,Sex,U,WeightLive,kg,Mean,0.031,,FishingTrip,7,7,635
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,16.5,,Sex,U,Number,k,Total,892.505,,FishingTrip,7,7,635
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,16.5,,Sex,U,WeightLive,kg,Mean,0.034,,FishingTrip,7,7,635
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,17,,Sex,U,Number,k,Total,1420.34,,FishingTrip,7,7,635
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,17,,Sex,U,WeightLive,kg,Mean,0.037,,FishingTrip,7,7,635
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,17.5,,Sex,U,Number,k,Total,1855.258,,FishingTrip,7,7,635
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,17.5,,Sex,U,WeightLive,kg,Mean,0.04,,FishingTrip,7,7,635
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,18,,Sex,U,Number,k,Total,1480.283,,FishingTrip,7,7,635
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,18,,Sex,U,WeightLive,kg,Mean,0.043,,FishingTrip,7,7,635
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,18.5,,Sex,U,Number,k,Total,769.48,,FishingTrip,7,7,635
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,18.5,,Sex,U,WeightLive,kg,Mean,0.047,,FishingTrip,7,7,635
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,19,,Sex,U,Number,k,Total,870.302,,FishingTrip,7,7,635
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,19,,Sex,U,WeightLive,kg,Mean,0.051,,FishingTrip,7,7,635
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,19.5,,Sex,U,Number,k,Total,1411.376,,FishingTrip,7,7,635
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,19.5,,Sex,U,WeightLive,kg,Mean,0.055,,FishingTrip,7,7,635
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,20,,Sex,U,Number,k,Total,1311.756,,FishingTrip,7,7,635
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,20,,Sex,U,WeightLive,kg,Mean,0.059,,FishingTrip,7,7,635
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,20.5,,Sex,U,Number,k,Total,772.059,,FishingTrip,7,7,635
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,20.5,,Sex,U,WeightLive,kg,Mean,0.063,,FishingTrip,7,7,635
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,21,,Sex,U,Number,k,Total,346.584,,FishingTrip,7,7,635
DN,ES,2025,WGHANSA,pil.27.8c9a,126421,Lan,Q1_27.9.a.n_PS_SPF_>0_0_0,LengthTotal,cm,21,,Sex,U,WeightLive,kg,Mean,0.068,,FishingTrip,7,7,635
